agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Ahaus                    ,-118.65,103.86,107.31,50.9,108.38,77.83,346.99,358.45,302.94,360.33,329.86,356.61,299.12,356.5,343.25,287.8,345.18,359.05,372.01,316.58,373.96,343.5,366.65,309.19,366.56,356.61,301.18,358.56,353.12,297.71,355.09,352.09,365.36,307.88,365.26,334.8,313.55,258.06,315.44,325.94,270.45,327.83,322.14,335.51,304.97,323.64,336.95,306.4,295.14,308.41,277.84,320.46,262.98,320.35,341.98,284.49,341.86,328.34,273,330.37,328.64,339.04,283.14,329.91,341.08,284.23,299.37,309.97,254.31,265.02,275.98,220.39
BadSalzuflen             ,165.96,104.19,53.79,-69.5,111.98,50.2,240.38,189.99,66.7,248.17,186.39,171.91,48.62,230.09,167.54,44.25,225.72,244.32,193.93,70.64,252.11,190.34,178.84,55.55,237.03,178.49,55.2,236.68,172.35,49.06,230.53,230.4,180,56.71,238.19,176.41,143.53,20.24,201.71,156.19,32.9,214.38,197.96,147.57,143.97,200.95,150.55,146.96,173.45,123.05,119.46,135.63,12.34,193.81,158.09,34.79,216.27,141.52,18.22,199.7,271.12,220.73,97.44,254.59,204.2,80.9,212.11,161.72,38.43,169.64,119.25,-4.05
Beckum                   ,-219.52,-62.41,-52.56,-120.03,-62.73,-95.64,165.14,178.55,111.58,168.85,135.97,174.8,107.9,165.16,164.54,97.61,154.87,178.28,192.05,125.13,182.39,149.52,183.84,116.95,174.21,175.59,108.67,165.93,171.62,104.7,161.96,169.35,183.31,116.42,173.68,140.81,135.16,68.21,125.47,147.4,80.45,137.71,138.04,152.04,109.55,140.08,154.05,111.54,111.86,125.8,83.3,138.59,71.69,128.95,160.71,93.82,151.08,146.65,79.76,137.02,157.19,169.09,101.91,155.58,168.06,100.95,123,135.86,68.81,87.19,100.31,33.3
Bestwig                  ,56.88,72.72,93.68,34.68,90.28,58.81,267.93,295.82,237.98,293.38,262.08,290.37,232.75,288.11,277.63,219.87,275.26,281.03,309.42,251.75,307.12,275.85,300.5,242.93,298.29,288.71,230.94,286.33,283.94,226.2,281.59,270.05,298.61,240.99,296.36,265.09,248.31,190.45,245.85,258.62,200.72,256.13,239.51,268.17,234.69,243.29,272,238.53,213.9,242.5,209,253.98,196.36,251.73,274.55,216.89,272.27,263.31,205.74,261.1,270.32,297.39,238.27,263.66,290.51,232.33,228.06,255.3,197.24,190.5,218.01,160.04
Bocholt                  ,75.78,97.51,102.56,47.34,104.64,74.24,301.72,314.39,259.9,317.13,286.8,309.2,253.73,310.95,298.32,243.89,301.11,313.46,326.5,270.98,329.3,297.88,317.32,262.97,320.19,311.11,255.59,312.81,307.48,251.98,309.2,304.43,317.7,262.23,319.44,289.13,270.98,216.52,273.74,283.32,228.85,286.07,273.84,286.1,258.65,275.22,288.5,259.94,247.11,260.36,231.79,272.86,217.39,274.6,294.86,239.38,296.6,280.62,226.27,283.48,302.64,313.1,258.3,297.75,308.76,254.08,263.09,274.46,219.86,225.96,237.59,183.03
Borgholzhausen           ,103.61,125.52,129.25,70.69,128.46,97.65,345.98,351.69,293.51,351.24,320.46,344.67,286.53,344.27,335.71,277.55,335.29,355.5,362.56,304.4,362.13,331.35,352.97,294.83,352.57,347.41,289.25,346.99,343.08,284.93,342.67,345.84,353.05,294.9,352.64,321.86,308.1,249.93,307.67,320.75,262.58,320.31,314.29,321.53,290.35,316.26,323.46,292.27,288.36,295.55,264.36,308.46,250.32,308.06,330.66,272.51,330.25,315.9,257.77,315.5,344.26,349.89,291.56,341.14,346.16,287.89,307.13,312.46,254.23,270.14,275.67,217.46
Bruehl                   ,-279.79,-97.39,-83.9,-148.39,-91.64,-124.07,155.06,174.43,111.43,167.97,135.72,188.72,126.11,182.6,167.43,104.61,161.13,183.33,203.93,141.25,197.75,165.53,204.52,142.03,198.5,176.67,113.84,170.36,175.67,112.9,169.41,177.09,198.07,135.48,191.97,159.77,130.57,67.6,124.14,139.04,76.02,132.56,147.89,169.04,130.78,151.21,172.38,134.12,119.9,140.87,102.57,152.17,89.56,146.05,172.67,110.04,166.53,165.22,102.69,159.17,126.89,143.29,79.53,129.88,147.25,83.75,101.95,120.06,56.74,70.35,89.01,25.83
CastropRauxel            ,104.87,126.18,139.29,71.58,128.95,95.98,349.66,366.54,299.14,356.49,323.54,356.52,289.15,346.5,350.25,280.77,338.12,359.92,377.01,307.53,364.88,331.93,364.75,297.39,354.74,361.95,292.47,349.82,355.38,288.02,345.36,349.75,364.86,297.5,354.85,321.9,322.98,255.6,312.95,335.62,268.24,325.59,318.17,333.31,290.35,320.23,335.34,292.38,292.4,307.5,264.54,320.31,252.94,310.29,342.64,275.28,332.63,327.63,260.27,317.62,347.71,362.35,294.84,345.14,360.26,292.79,310.28,326.79,259.35,273.38,290.08,222.66
Engelskirchen            ,11.2,22.15,45.32,-13.4,41.98,10.68,213.95,236.11,178.53,233.7,202.58,228.91,171.54,226.67,217.1,159.59,214.75,226.83,249.5,192.11,247.25,216.16,239.72,182.43,237.55,229.16,171.67,226.82,224.62,167.16,222.31,214.81,237.59,180.23,235.36,204.28,189.44,131.86,187.03,200.83,143.22,198.4,184.96,207.89,174.63,188.49,211.45,178.2,159.17,182.03,148.75,192.59,135.22,190.36,213.75,156.35,211.49,202.89,145.6,200.72,219.26,244.15,186.05,211.39,236.78,174.67,175.03,196.58,138.78,136.97,158.77,101.07
Greven                   ,74.5,97.38,98.34,40.72,98.37,67.66,307.75,316.1,258.96,316.57,285.9,308.35,250.18,307.78,298.81,241.71,299.31,317.72,326.31,269.21,326.81,296.15,316.89,258.72,316.32,311.39,254.3,311.9,306.99,248.81,307.51,308.02,316.78,258.61,316.21,285.54,271.7,214.57,272.18,284.28,227.16,284.76,276.96,285.78,254.55,278.81,287.58,256.35,250.83,259.58,228.35,272.12,213.95,271.55,294.2,236.02,293.62,280.18,222.02,279.62,307.6,313.9,256.57,303.46,310.26,253.01,268.97,276.09,218.88,230.98,239.09,181.92
