agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Ahaus                    ,-151.82,86.6,92.89,36.38,93.86,63.31,287.5,297.49,239.41,296.84,266.33,285.83,229.92,287.35,276.77,220.83,278.26,296.31,304.41,248.47,305.9,275.39,294.37,238.47,295.9,288.99,233.06,290.48,284.23,228.31,285.73,286.01,294.26,238.36,295.78,265.28,251.86,193.79,251.22,264.38,206.31,263.74,254.85,263.16,234.19,257.08,265.35,236.37,229.06,237.31,208.33,249.62,193.71,251.14,271.59,215.68,273.1,257.62,201.73,259.15,291.94,299.62,243.43,285.64,293.77,237.66,248.74,258.26,202.2,210.72,220.44,164.42
BadSalzuflen             ,119.34,57.56,7.17,-116.12,65.35,3.57,193.76,143.36,20.07,201.55,139.77,125.29,1.99,183.47,120.92,-2.38,179.1,197.7,147.31,24.01,205.49,143.71,132.22,8.93,190.4,131.87,8.58,190.05,125.72,2.43,183.91,183.77,133.38,10.08,191.56,129.78,96.91,-26.39,155.09,109.57,-13.72,167.75,151.34,100.94,97.35,154.32,103.93,100.33,126.82,76.43,72.83,89,-34.29,147.19,111.46,-11.83,169.64,94.89,-28.4,153.07,224.5,174.11,50.81,207.97,157.57,34.28,165.49,115.1,-8.2,123.01,72.62,-50.67
Beckum                   ,-225.53,-32.71,-21.71,-89.02,-31.73,-64.62,162.23,171.34,104.35,161.62,128.74,161.29,94.35,151.61,153.65,86.69,143.95,171.35,180.67,113.71,170.97,138.1,169.38,102.44,159.71,164.66,97.7,154.97,159.73,92.77,150.04,160.19,169.61,102.67,159.93,127.06,126.63,59.65,116.91,139.05,72.07,129.34,128.38,137.82,95.27,130.84,140.27,97.71,102.95,112.36,69.8,125.05,58.1,115.37,147.32,80.38,137.64,132.13,65.19,122.45,169.8,182.19,115.07,162.47,175.22,103.97,125.91,134.71,67.67,87.33,96.28,29.27
Bestwig                  ,-35.82,-28.17,-8.65,-69.49,-13.57,-45.31,160.64,178.91,119.03,174.78,143.19,171.35,111.65,167.37,160.01,100.19,155.94,172.2,190.9,131.15,186.88,155.31,180.94,121.29,177,171.07,111.25,166.99,166.07,106.27,162.01,160.73,179.56,119.87,175.59,144.02,131.58,71.68,127.44,142.28,82.35,138.12,125.69,148.79,113.28,129.34,152.47,116.97,104.45,123.32,87.79,134.98,75.28,131,155.86,96.13,151.86,143.73,84.07,139.79,167.77,188.91,124.42,159.46,176.87,116.71,122.71,140.44,80.38,84.33,102.29,42.3
Bocholt                  ,25.94,42.97,45.45,-10.32,47.04,16.59,240.68,250.47,194.26,251.55,221.17,243.03,188.04,245.32,232.73,177.68,234.96,251.72,260.75,205.71,263,232.62,252.05,197.07,254.35,245.36,190.32,247.6,241.5,186.48,243.76,242.25,251.49,196.5,253.78,223.41,206.79,150.61,207.89,219.15,162.97,220.26,211.5,220.82,192.75,213.02,222.27,194.19,184.96,194.18,166.1,206.69,151.7,208.98,228.73,173.73,231.01,215.28,160.32,217.59,244.32,252.03,196.65,238.4,246.61,191.33,202.26,211.58,156.37,164.66,174.2,119.04
Borgholzhausen           ,37.71,53.21,54.32,-4.55,53.23,22.4,264.12,266.87,208.32,266.09,235.28,258.61,200.1,257.86,250.16,191.64,249.4,273.99,276.95,218.43,276.19,245.39,266.75,208.25,266.01,261.78,203.26,261.02,257.24,198.73,256.49,263.85,266.95,208.44,266.2,235.4,222.96,164.42,222.18,235.61,177.07,234.83,231.1,235.33,203.78,234.28,237.38,205.83,206.43,209.51,177.96,222.39,163.88,221.64,244.61,186.11,243.87,229.65,171.15,228.91,266.04,268.84,210.17,261.42,264.65,206.03,226.46,228.87,170.28,188.86,191.44,132.87
Bruehl                   ,-292.2,-63.47,-48.26,-112.31,-55.63,-88,164.54,180.21,117.33,173.86,141.62,183.95,120.57,177.06,168.35,105.6,162.11,180.81,201.5,138.83,195.33,163.12,195.87,133.32,189.81,178.15,115.38,171.89,175.46,112.74,169.25,171.93,192.87,129.5,185.99,153.78,135.56,72.7,129.22,145.3,82.41,138.94,141.6,162.65,123.59,144.8,165.86,126.8,114.83,135.76,96.67,147.5,84.11,140.61,168.67,105.27,161.77,157.26,94.71,151.19,151.68,169.33,105.89,150.2,168.61,105.36,118.55,133.32,70.21,83.94,99.11,36.11
CastropRauxel            ,51.77,67.91,79.05,11.13,68.51,35.54,283.51,296.06,228.43,285.79,252.83,287.24,219.65,277.01,279.23,211.62,268.98,293.22,305.96,238.35,295.71,262.75,295.36,227.77,285.13,290.86,223.25,280.61,286.25,218.65,276.01,282.71,295.57,227.97,285.33,252.37,252.25,184.63,241.99,264.89,197.27,254.63,251.06,263.94,220.75,253.2,266.06,222.86,225.4,238.24,195.05,251.03,183.43,240.79,273.38,205.78,263.14,258.22,190.63,247.99,284.55,297.06,229.33,279.65,293.69,226,245.12,259.43,191.76,207.73,222.21,152.45
Engelskirchen            ,-31.28,-24.01,-3.49,-63.15,-7.59,-39.04,163.13,182.39,123.77,179.13,147.85,174.28,115.85,171.18,163.1,104.54,159.89,175.27,194.99,136.54,191.88,160.62,184.77,125.64,180.96,175.06,116.52,171.87,170.39,111.88,167.22,158.9,182.91,124.49,179.82,148.57,135.74,77.12,132.48,147.23,88.59,143.96,128.84,152.98,117.92,132.32,156.49,121.44,103.16,127.23,92.15,137.97,79.54,134.87,159.23,100.78,156.11,147.89,88.77,144.09,170.57,192.68,129.4,161.98,180.36,121.42,125.1,143.8,84.98,86.67,105.61,46.87
Greven                   ,59.07,76.27,79.97,22.24,79.9,49.19,287.54,295.11,237.86,295.48,264.8,284.98,227.79,285.4,275.58,218.36,275.97,297.34,303.04,245.83,303.44,272.77,293.47,236.29,293.9,288.11,230.9,288.52,283.67,226.46,284.08,287.52,293.39,236.2,293.81,263.14,250.65,191.31,248.93,263.24,203.89,261.51,256.43,262.35,232.11,258.31,264.19,233.94,230.35,236.21,205.96,248.74,191.55,249.16,270.83,213.64,271.25,256.74,199.56,257.17,288.6,293.83,236.39,284.12,289.83,232.47,248.3,255.43,198.11,210.94,218.28,160.99
Hamm                     ,8.28,24.24,32.23,-35.2,22.12,-10.8,227.69,242.54,175.45,232.75,199.85,233.42,166.38,223.67,226.05,157.89,215.18,238.17,253.26,185.1,242.4,209.5,241.71,174.67,231.97,237.47,169.31,226.6,231.91,164.86,222.15,227.65,241.77,174.73,232.02,199.12,198.92,131.84,189.14,211.13,144.05,201.34,196.01,210.16,167.51,198.16,212.27,169.62,170.25,184.35,141.7,197.18,130.14,187.43,219.44,152.39,209.69,204.5,137.46,194.76,231.25,244.29,177.07,226.18,239.65,172.48,190.26,204.77,137.63,152.57,167.26,100.15
Hamminkeln               ,18.13,35.26,34.98,-22.37,35.21,4.56,235.42,242.27,185.42,242.96,212.35,234.48,176.61,234.14,225.22,168.41,225.94,245.77,252.89,196.09,253.63,223.02,243.23,185.37,242.9,237.29,180.49,238.03,233.14,175.25,232.79,235.63,242.92,185.05,242.58,211.98,198.24,141.4,198.94,210.48,153.64,211.18,204.47,211.81,180.87,206.42,213.72,182.78,178.38,185.65,154.71,198.22,140.35,197.88,220.29,162.42,219.95,205.14,148.38,205.91,238.78,243.66,186.61,233.13,238.48,181.5,197.8,203.45,146.53,159.35,165.97,109.09
Hellenthal               ,-130.36,-134.41,-118.54,-176.92,-121.88,-152.88,35.15,53.07,-4.32,50.5,19.69,43.37,-13.8,40.98,32.16,-25.19,29.62,46.76,65.15,7.98,62.76,31.98,53.21,-3.88,50.88,43.67,-13.66,41.15,38.27,-19.05,35.76,33.28,51.7,-5.46,49.32,18.54,5.43,-51.99,2.84,16.5,-40.98,13.87,2.88,21.42,-11.67,6.86,25.46,-7.61,-22.19,-3.68,-36.79,6.79,-50.38,4.4,27.72,-29.5,25.29,16.42,-40.65,14.11,50.77,67.76,9.92,39.53,56.85,-0.84,0.85,18.41,-39.17,-38.82,-21.1,-78.59
Hilden                   ,35.03,49.52,61.31,-6.51,50.86,17.89,260.54,274.98,207.45,264.81,231.85,267.77,200.28,257.63,259.29,191.79,249.14,271.24,285.92,218.42,275.76,242.82,275.92,208.44,265.78,270.84,203.34,260.69,266.63,199.14,256.49,261.29,276.1,208.61,265.96,233.01,232.05,164.54,221.89,245.32,177.8,235.15,229.58,244.41,201.33,231.51,246.31,203.22,203.7,218.49,175.4,231.52,164.03,221.38,253.8,186.32,243.66,238.69,171.21,228.56,264.09,277.56,209.92,259.83,272.62,205.03,225.06,238.11,170.55,187.53,200.76,133.22
Hoevelhof                ,-252.52,-198.35,-205.7,-265.37,-207.55,-238.41,126.13,126.08,67.42,125.17,94.38,193.82,135.63,193.34,140.2,81.73,139.46,170.61,167.96,109.51,167.24,136.46,217.03,158.93,216.63,166.09,107.72,165.44,178.81,120.54,178.25,203,205.72,147.55,205.25,174.5,94.44,35.86,93.6,107.14,48.56,106.29,186.1,189.41,158.27,172.59,175.27,144.04,140.16,142.65,111.39,158.53,100.35,158.05,175.7,116.72,174.42,188.53,130.47,188.16,34.1,29.29,-30.02,51.7,48.22,-10.91,39.45,37.14,-21.83,22.15,20.81,-38.02
Holzwickede              ,47.97,62.68,79.94,14.78,71.79,39.14,270.49,291.77,225.11,282.06,249.46,282.83,218.36,275.3,272.49,207.98,264.92,281.61,301.1,236.61,293.55,260.96,291.95,227.5,284.44,284.2,219.69,276.64,279.59,215.09,272.04,271.57,291.24,226.77,283.71,251.12,246.18,179.52,236.47,257.8,191.13,248.08,240.48,260.2,220.1,243.03,262.73,222.63,214.56,234.22,194.11,246.56,182.1,239.04,268.45,203.98,260.92,254.86,190.41,247.35,271.22,290.02,225.21,266.26,285.57,220.85,230.41,251.17,186.52,193.23,214.22,149.61
Hopsten                  ,-97.73,126.04,131.71,74.43,132.05,101.37,316.89,323.84,266.91,324.5,293.85,312.61,255.73,313.31,304.73,247.82,305.4,322.62,331.84,274.93,332.52,301.87,320.62,263.74,321.32,317.03,260.13,317.71,312.13,255.24,312.82,311.6,320.93,264.04,321.63,290.98,278.99,222.07,279.65,291.64,234.72,292.3,280.15,289.52,259.58,282.23,291.57,261.62,254.51,263.83,233.89,276.4,219.51,277.1,298.58,241.69,299.28,283.78,226.91,284.49,326.39,332.47,275.41,318.39,324.82,267.81,281.3,287.95,230.98,242.33,249.13,192.17
Issum                    ,-9.81,5.56,16.52,-47.22,3.73,-28.2,208.77,221.39,157.92,208.85,176.94,212.32,148.87,199.8,204.25,140.79,191.72,218.14,230.95,167.49,218.42,186.51,220.33,156.89,207.82,216.11,152.66,203.59,211.46,148.02,198.95,206.92,220.62,157.18,208.11,176.19,177.58,114.12,165.05,190.36,126.89,177.82,175.25,188.98,144.55,177.34,191.04,146.61,149.52,163.2,118.77,176.03,112.59,163.52,198.38,134.94,185.87,183.2,119.76,170.69,212.88,225.36,161.79,207.6,220.47,156.17,172.17,184.51,121.01,134.22,146.71,83.22
Juechen                  ,29.2,40.48,61.23,-1.37,55.11,22.91,242.18,265.19,203.45,259.81,227.72,257.96,196.35,252.7,247.43,185.74,242.1,253.49,276.88,215.23,271.58,239.5,268.09,206.52,262.87,257.26,195.56,251.93,252.6,190.92,247.28,243.03,266.59,204.99,261.34,229.26,217.1,155.34,211.71,228.87,167.09,223.46,211.44,235.05,197.72,215.23,238.88,201.56,186.29,209.86,172.52,221.79,160.18,216.53,243.13,181.5,237.85,230.01,168.43,224.78,243.54,265.36,203.22,236.44,259.54,196.44,201.02,223.37,161.46,163.53,186.14,124.29
Kirchlengern             ,67.91,84.56,100.22,33.53,90.77,57.92,299.51,316.15,249.89,307.11,274.28,309.63,243.43,300.64,300.38,234.16,291.37,308.58,327.62,261.39,318.61,285.78,318.06,251.86,309.07,311.7,245.48,302.69,307.31,241.1,298.31,298.85,318.05,251.85,309.06,276.24,272.31,206.06,263.28,284.61,218.36,275.58,267.27,286.5,244.69,269.37,288.57,246.76,241.33,260.51,218.69,273.38,207.18,264.39,295.53,229.32,286.53,280.93,214.74,271.95,298.93,316.46,250.03,295.05,310.97,244.61,260.72,276.96,210.64,223.61,240.06,173.77
Lengerich                ,59.66,76.51,81.85,24.97,82.49,51.9,286.07,295.43,237.01,294.48,263.93,285.6,229.36,286.82,275.48,219.2,276.67,295.72,303.22,246.95,304.42,273.87,294.3,238.08,295.54,288.01,231.74,289.21,283.53,227.28,284.74,286.38,294.07,237.84,295.3,264.76,249.95,191.54,249.01,262.39,203.98,261.44,255.31,263.06,233.76,257.34,265.05,235.74,229.16,236.85,207.53,249.4,193.17,250.63,271.22,214.98,272.44,257.57,201.35,258.81,286.96,293.88,237.34,282.19,289.61,233.16,246.3,255.16,198.76,208.98,218.06,161.7
Leverkusen               ,69.5,89.26,110.62,46,102.8,70.35,300.22,323.1,260.37,317.08,284.7,315.35,252.61,309.31,305.08,242.39,299.1,309.31,334.63,271.98,328.69,296.32,325.31,262.6,319.3,316.55,253.88,310.58,312.42,249.76,306.47,298.62,324.1,261.36,318.06,285.7,276.68,213.96,270.67,288.59,225.86,282.57,267.82,293.38,255,270.68,296.23,257.84,242.17,267.67,229.27,279.05,216.31,273.01,300.89,238.15,294.85,288.09,225.38,282.08,297,320.36,255.17,292.1,313.91,250.95,257.53,279.71,216.84,220.54,242.99,180.17
Lippetal                 ,-284.83,-251.09,-248.57,-317.06,-259.68,-292.66,35.06,43.44,-24.22,33.1,0.17,127.47,60.35,117.63,70.22,2.81,60.11,94.03,104.57,37.2,94.5,61.6,151.79,84.79,142.05,82.92,15.52,72.82,95.54,28.24,85.53,127.3,139.67,72.57,129.84,96.96,12.78,-54.8,2.51,23.11,-44.49,12.83,105.57,118.36,71.53,97.14,109.48,66.77,62.81,74.89,32.14,92.01,24.9,82.17,109.42,42.27,99.55,115.6,48.6,105.86,-35.65,-31.23,-99.46,-25.36,-19.9,-87.97,-42.82,-36.38,-104.32,-63.34,-56.05,-123.86
Lotte                    ,55.89,72.53,77.16,19.97,77.54,46.9,281.95,290.53,233.86,291.38,260.79,280.86,224.27,281.78,273.19,214.45,271.97,291.92,300.76,242.03,299.55,268.96,289.51,232.93,290.44,285.65,226.92,284.44,281.36,222.65,280.17,282.42,289.34,232.75,290.27,259.68,246.15,189.5,247.02,258.48,201.83,259.35,251.31,258.28,228.63,253.13,260.05,230.39,225.16,232.07,202.4,244.74,188.14,245.66,266.64,210.04,267.56,252.78,196.2,253.71,283.63,289.83,232.95,278.88,285.58,228.79,244.04,251.06,194.32,205.53,213.87,157.16
Luedinghausen            ,42.73,58.97,72.23,9.08,59.97,28.09,271.7,288.56,225.75,276.62,244.76,278.39,215.62,266.49,272.16,207.27,258.14,281.9,298.99,234.1,284.97,253.11,286.55,223.78,274.65,283.68,218.79,269.66,279.09,214.21,265.08,271.64,286.75,223.98,274.85,242.99,244.96,182.17,233.04,257.51,194.71,245.59,240.02,255.16,211.41,242.1,257.2,213.45,214.25,229.35,185.59,242.17,179.4,230.27,264.46,201.69,252.56,249.47,186.71,237.58,273.61,288.29,225.35,269.42,284.54,221.66,233.62,250.12,187.27,196.17,212.86,150.03
Marienmuenster           ,17.65,30.39,48.57,-11.73,44.18,12.46,218.72,244.22,183.8,239.55,207.97,239.45,180.38,236.09,226.99,167.77,223.51,233.81,258.82,199.7,255.42,223.87,249.17,190.14,245.84,237.81,177.48,233.22,231.69,172.48,228.22,222.78,247.95,188.88,244.59,213.04,198.33,137.93,193.68,207.91,147.45,203.21,191.41,216.64,181.75,195.02,220.29,185.41,165.89,191.06,156.16,203.17,144.1,199.81,224.12,165.02,220.74,211.92,152.89,208.6,225.44,248.81,189.06,218.13,242.01,182.43,182.13,206.36,146.89,143.54,168.8,109.4
Mechernich               ,-75.78,-70.3,-54.91,-118.57,-61.98,-94.28,116.89,134.91,71.96,128.45,96.25,126.68,63.86,120.33,116.92,54.03,110.51,128.19,146.6,83.75,140.22,108.03,136.32,73.54,130,126.93,64.02,120.5,122.21,59.33,115.8,116.67,135.2,72.38,128.85,96.66,88.28,25.33,81.81,99.23,36.26,92.75,84.99,103.55,65.03,88.53,107.12,68.61,59.81,78.34,39.81,90.42,27.6,84.07,111.97,49.14,105.6,98.37,35.58,92.05,124.81,141.65,78.38,116.28,133.54,70.38,79.38,96.92,33.84,40.87,58.61,-4.41
Meerbusch                ,21.86,35.79,51.04,-11.37,39.43,7.63,243.31,260.32,198.33,249.09,217.33,253.42,191.49,242.25,244.39,182.43,233.2,254.41,271.71,209.76,260.52,228.76,262.14,200.22,250.98,255.71,193.75,244.51,251.6,189.66,240.42,244.4,261.85,199.92,250.68,218.92,216.53,154.55,205.31,229.57,167.6,218.36,212.92,230.41,187.48,215.04,232.5,189.57,187.01,204.45,161.51,217.19,155.26,206.02,239.41,177.48,228.24,224.83,162.91,213.67,245.36,262.33,200.17,240.34,257.78,195.68,205.38,223.11,159.96,167.92,184.74,122.72
Mettmann                 ,93.06,116.35,134.02,68.39,125.5,92.76,329.78,351.8,286.7,343.77,311.07,347.87,282.87,339.93,338.02,272.99,330.05,343.83,366.26,301.24,358.3,325.61,357.09,292.1,349.16,348.61,283.58,340.64,345.16,280.14,337.19,333.74,356.33,291.34,348.39,315.71,309.55,244.48,301.54,321.45,256.38,313.44,302.32,324.95,284.33,304.36,326.96,286.33,276.21,298.78,258.15,311.63,246.63,303.69,333.75,268.75,325.8,319.5,254.52,311.57,330.46,349.14,283.83,324.78,346.1,280.88,290.83,312.4,247.23,254.11,275.92,210.79
Moenchengladbach         ,23.92,35.93,53.92,-10.73,46.19,13.62,241.5,261.64,197.66,254.5,222,253.27,189.38,246.22,243.87,179.93,236.77,251.71,272.14,208.22,265.06,232.56,262.73,198.86,255.7,254.48,190.54,247.38,249.83,185.91,242.75,241.22,261.8,197.91,254.75,222.25,214.67,150.68,207.53,226.81,162.82,219.66,209.78,230.41,190.88,212.91,233.54,194.01,184.4,204.99,165.44,217.02,153.12,209.96,238.85,174.95,231.79,225.11,161.24,218.08,241.94,260.97,196.69,235.43,255.72,191.55,200.24,220.88,155.67,162.81,182.57,118.52
Nettetal                 ,-29.75,-17.35,-1.67,-62.97,-12.31,-43.97,179.18,197.76,137.02,187.63,156.01,187.42,125.98,176.58,178.37,117.65,168.27,188.02,206.82,145.35,196.73,164.34,195.63,134.97,185.57,190.71,130,180.61,186.09,124.63,175.24,176.98,195.92,134.47,185.08,153.46,151.52,90.78,141.39,164.01,103.27,153.89,146.12,164.35,122.68,148.56,167.54,125.09,120.49,139.44,96.99,151.03,89.58,140.19,173.08,111.63,162.23,158.8,98.15,148.75,186.07,199.2,138.22,179.43,193.01,132.12,143.54,157.42,96.58,101.36,119.62,58.82
Nottuln                  ,-184.75,41.71,56.82,-9.58,47.62,14.8,239.61,256.17,190.16,247.32,214.54,248.12,182.17,239.33,239.69,173.72,230.88,250.25,267.08,201.12,258.27,225.5,256.39,190.45,247.61,250.68,184.71,241.87,246.01,180.05,237.21,239.54,256.51,190.56,247.72,214.94,212.28,146.29,203.45,224.43,158.44,215.6,207.82,224.81,183.25,210.08,227.05,185.48,182.15,199.09,157.53,211.91,145.96,203.12,234.11,168.17,225.32,219.22,153.28,210.44,245.99,262.66,196.5,239.38,256.45,190.35,203.32,220.66,153.5,165.12,181.53,115.5
Ostbevern                ,-108.34,120.67,125.6,68.04,125.69,94.98,315.29,321.6,264.39,322.01,291.33,311.37,254.21,311.82,303.45,246.27,303.89,321.96,330.57,273.39,331.01,300.33,319.45,262.28,319.9,315.29,258.11,315.72,310.51,253.34,310.96,310.97,319.69,262.53,320.14,289.47,277.23,220.03,277.65,289.84,232.64,290.26,279.42,288.18,257.96,281.54,290.27,260.04,253.79,262.5,232.28,275.17,218,275.62,297.37,240.2,297.82,282.46,225.31,282.92,323.44,328.84,271.5,316.1,321.88,264.59,279.45,285.46,228.2,240.77,246.93,189.69
Radevormwald             ,-62.71,-57.78,-39.55,-100.45,-44.55,-76.27,127.28,148.26,88.31,144.05,112.47,139.53,75.56,131.27,128.82,68.92,124.65,138.85,160.27,96.28,151.99,120.43,149.44,85.53,141.23,140.57,80.68,136.41,135.91,76.05,131.77,126.62,148.13,84.17,139.88,108.33,101.69,41.73,97.47,112.59,52.6,108.34,96.12,117.74,77.97,99.43,121.07,81.31,70.5,92.06,52.27,103.13,39.16,94.87,124.48,60.49,116.21,112.52,48.61,104.31,135.64,155.36,94.97,126.68,146.83,86.59,89.53,109.98,49.84,50.88,71.55,11.49
Ratingen                 ,58.6,74.54,91.61,26.14,83.21,50.51,283.02,301.94,237.03,294.04,261.39,297.08,232.26,289.26,286.76,221.9,278.91,295.66,314.96,250.11,307.12,274.47,306.26,241.46,298.46,298.15,233.28,290.3,294.46,229.62,286.63,286.09,305.58,240.76,297.77,265.12,258.46,193.57,250.58,271.05,206.15,263.17,254.83,274.37,233.92,256.84,276.34,235.88,228.63,248.1,207.64,260.87,196.04,253.05,282.85,218.03,275.03,268.96,204.16,261.16,284.86,303.5,238.36,279.17,299.43,234.38,244.63,265.22,198.13,207.53,226.26,161.31
