agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Ahaus                    ,-178.26,65.2,66.94,10.23,67.73,37.16,326.59,338.3,280.53,337.94,307.45,338.81,283.31,340.7,322.93,267.34,324.74,342.23,352.35,296.78,354.18,323.7,349.75,294.29,351.67,336.96,281.39,338.78,334.21,278.67,336.06,337.24,347.75,292.26,349.65,319.17,291.7,236.06,293.46,304.02,248.38,305.78,308.01,318.66,290.11,309.08,319.65,291.08,280.29,290.8,262.22,302.7,247.21,304.59,323.95,268.44,325.83,313.88,258.43,315.81,298.5,307.57,251.43,303.25,312.15,256.19,275.33,284.87,229.02,241.8,252.89,197.12
BadSalzuflen             ,154.4,92.62,42.23,-81.06,100.41,38.63,228.82,178.42,55.13,236.61,174.83,160.35,37.05,218.53,155.97,32.68,214.16,232.76,182.37,59.07,240.55,178.77,167.28,43.99,225.46,166.93,43.64,225.11,160.78,37.49,218.97,218.83,168.44,45.14,226.62,164.84,131.97,8.67,190.15,144.63,21.33,202.81,186.4,136,132.41,189.38,138.99,135.39,161.88,111.49,107.89,124.06,0.77,182.25,146.52,23.23,204.7,129.95,6.66,188.13,259.56,209.16,85.87,243.02,192.63,69.34,200.55,150.16,26.86,158.07,107.68,-15.61
Beckum                   ,-229.82,-26.09,-14.83,-82.1,-24.82,-57.71,228.15,243.41,176.8,234.04,201.19,246.23,179.73,236.96,233.2,166.66,223.89,245.45,261.23,194.7,251.93,219.08,256.27,189.79,247.02,244.3,177.76,235,241.34,174.81,232.05,238.1,254.94,188.44,245.67,212.83,201.38,134.8,192.04,213.43,146.85,204.09,207.33,224.23,182.13,208.91,225.76,183.65,181.13,197.16,155.05,210.04,143.55,200.78,232.01,165.52,222.75,219.14,152.67,209.9,209.06,222.99,156.09,212.94,223.47,156.68,180.1,195.36,128.64,147.07,162.69,96.03
Bestwig                  ,12.97,24.93,47.41,-12.47,43.29,11.69,215.13,240.08,181.27,236.84,205.4,233.63,175.02,230.56,221.55,162.81,218.37,227.5,252.91,194.26,249.8,218.39,243.5,184.95,240.47,232.62,173.88,229.44,227.75,169.03,224.58,216.29,241.86,183.25,238.79,207.38,192.65,133.83,189.4,203.92,144.29,199.87,185.6,211.26,176.82,189.31,215.02,180.58,160.08,185.68,151.22,197.25,138.64,194.18,217.97,159.33,214.87,206.3,147.75,203.27,223.95,244.03,184.74,216.5,237.09,177.97,176.18,201.3,141.53,138.22,163.6,103.91
Bocholt                  ,89.17,107.98,117.13,62.06,119.34,88.96,317.02,330.46,276.13,333.34,303.03,323.48,269.28,326.47,314.54,258.17,315.37,328.95,342.77,286.41,343.61,313.31,332.75,278.57,335.77,327.38,271.02,328.23,321.7,267.47,324.67,320.03,331.98,277.78,334.98,304.68,287.13,230.72,287.93,299.45,243.04,300.25,289.49,301.53,274.25,290.83,302.79,275.49,262.7,274.63,247.33,287.13,232.93,290.13,309.12,254.91,312.11,296.06,241.89,299.08,317.54,328.41,273.76,312.93,324.36,269.84,278.45,290.26,235.81,240.35,253.51,199.12
Borgholzhausen           ,93.99,114.96,117.54,58.93,116.7,85.89,332.93,337.2,278.96,336.7,305.91,330,271.8,329.54,321.11,262.9,320.64,343.44,347.95,289.74,347.48,316.69,338.27,280.08,337.82,332.8,274.59,332.33,328.44,270.23,327.97,333.7,338.37,280.17,337.91,307.12,293.56,235.33,293.08,306.21,247.98,305.72,302.14,306.84,275.6,304.12,308.78,277.54,276.23,280.88,249.63,293.79,235.59,293.33,315.98,257.79,315.53,301.2,243.01,300.75,332.83,336.95,278.57,328.4,334.09,275.77,294.25,300.25,241.97,257.17,263.37,205.1
Bruehl                   ,-276.45,-101.7,-88.43,-152.97,-96.22,-128.65,160.25,179.88,116.95,173.48,141.24,194.84,132.36,188.83,170.89,108.17,164.68,192.09,208.95,146.38,202.86,170.66,212.15,149.79,206.25,184.06,117.14,173.65,179.65,116.98,173.48,187.09,204.41,141.94,198.41,166.23,136.37,73.48,130.01,144.27,81.32,137.86,158.44,175.94,137.81,161.81,179.34,141.21,129.86,147.16,108.98,158.25,95.76,152.24,178.43,115.92,172.4,172.5,110.12,166.58,125.76,142.1,78.33,130.48,147.89,84.4,104.08,122.3,59.01,73.74,92.58,29.44
CastropRauxel            ,84.36,103.67,116.01,48.23,105.6,72.63,324.1,338.02,270.53,327.89,294.93,329.75,262.3,319.65,321.52,254.05,311.41,334.15,348.27,280.8,338.16,305.2,337.94,270.49,327.84,333.19,265.73,323.08,328.67,261.21,318.57,323.85,338.09,270.64,327.99,295.04,294.36,226.88,284.24,307,239.52,296.88,292.24,306.51,263.46,294.33,308.57,265.52,266.51,280.74,237.69,293.54,226.09,283.44,315.88,248.43,305.78,300.81,233.37,290.72,323.31,337.13,269.53,319.16,334.54,266.98,285.1,300.76,233.24,248.02,263.85,194.24
Engelskirchen            ,8,18.67,41.63,-17.16,38.24,6.93,205.93,232.05,173.63,228.81,197.68,224.02,166.57,221.72,213.03,154.67,209.84,218.76,244.62,187.14,242.3,211.2,234.81,177.43,232.57,225.08,166.74,221.91,220.53,162.22,217.39,206.72,232.69,175.26,230.4,199.3,185.39,126.96,182.15,196.78,138.33,193.52,176.86,202.98,169.64,180.38,206.53,173.2,151.08,177.12,143.76,187.7,130.25,185.4,208.86,151.39,206.54,197.97,140.6,195.74,215.59,236.09,177.91,207.66,228.65,170.65,171.26,192.6,134.72,133.17,154.76,96.98
Greven                   ,92.35,112.77,117.94,60.44,118.08,87.38,328.76,338,278.9,336.49,305.83,328.48,271.55,329.14,318.77,261.81,319.4,338.92,346.3,289.34,346.94,316.28,337.07,280.14,337.73,331.41,274.45,332.04,327.06,270.12,327.71,329.35,336.92,279.98,337.57,306.92,291.56,234.57,292.17,304.14,247.15,304.75,298.34,305.96,275.98,300.16,307.73,277.73,272.16,279.72,249.72,292.25,235.31,292.91,314.32,257.38,314.97,300.38,243.45,301.04,327.93,334.75,277.55,324.19,331.52,274.4,288.85,297.61,240.55,251.8,260.79,203.75
Hamm                     ,89.15,108.78,123.47,56.46,113.75,80.85,326.87,343.34,276.72,333.98,301.11,336.93,270.36,327.62,327.8,261.21,318.48,338.4,355.14,288.56,345.82,312.95,345.43,278.87,336.13,339.29,272.7,329.97,335.1,268.53,325.79,328.43,345.32,278.75,336.02,303.15,300.17,233.56,290.82,312.3,245.69,302.96,296.91,313.84,271.67,298.92,315.81,273.64,270.95,287.82,245.65,300.69,234.13,291.39,322.92,256.35,313.61,308.24,241.68,298.95,326.28,342.55,275.78,321.95,339.81,273.1,287.97,306.14,237.37,251.05,267.33,200.69
Hamminkeln               ,103.88,125.06,132.21,75.54,133.07,102.47,340.08,349.35,293.27,350.74,320.2,343.32,287.33,344.8,333.22,277.19,334.66,351.53,361.12,305.1,362.56,332.02,352.39,296.41,353.87,345.49,289.47,346.94,341.68,285.68,343.14,342.05,351.82,295.84,353.3,322.76,305.73,249.68,307.15,317.9,261.84,319.31,311.09,320.94,291.88,312.87,322.66,293.6,284.74,294.5,265.43,307.07,251.08,308.54,329.08,273.08,330.55,315.45,259.48,316.94,338.97,347.83,291.51,334.08,344.59,288.37,299.96,308.73,252.56,263.11,272.11,215.99
